_id,prefix,suffix,oldPart,newPart,prevSent,nextSent,label
ObjectID(5527ecb5a21e3a63c2ac9ebd),"","welfare and social spending, eliciting protests from Democrats.","At the same time, the administration successfully slowed the growth of","Democrats protested at the  tax cuts accompanied by a large increase in military spending and cutbacks to","While ridiculed by opponents as ""voodoo,"" ""trickle-down,"" and ""Reaganomics,"" he managed to push his across-the-board tax cuts through the congress in 1981.","Following the recession of 1981-82, the economy staged a dramatic recovery beginning in 1983.","X"
ObjectID(5527ea58a21e5709f6e9926a),"Over two centuries, they ignored the mountainous area in the central Sulawesi, where Torajans","","were living, because it was poorly accessible and had unproductive land for agriculture.","lived, because access was difficult and it had little productive agricultural land.","From the 17th century, the Dutch established trade and political control on Sulawesi through the Dutch East Indies Company.","In the late 19th century, the Dutch became increasingly concerned about the spread of Islam in the south of Sulawesi, especially among the Makassarese and Bugis peoples.","Paraphrase"
ObjectID(5527eecca21e5709f6e9b96d),"The text on the stone is a decree from Ptolemy V,","and instructions to erect statues in temples.","describing the repeal of various taxes","i love to suck large lollipops","Comparative translation of the stone assisted in understanding many previously undecipherable examples of hieroglyphic writing.","Two Egyptian-Greek multilingual steles predated Ptolemy V's Rosetta Stone: Ptolemy III's Decree of Canopus, 239 BC, and Ptolemy IV's Decree of Memphis, ca 218 BC.","X"
ObjectID(5527dfb1a21e3a63c2ac6727),"The nature of the Borg, specifically as seen in First Contact has been the subject of","","considerable critical attention.","critical discussion.","In the end it is Lily (the 21st Century woman) who shows Picard (the 24th Century man) that his quest for revenge is the very primitive behaviour that humans had evolved to not use. There is a love theme between Lily Sloane and Picard, and the Vulcans at the end are representative of the biblical figures the Three Wise Men.","Author Joanna Zylinska notes that while other alien species are tolerated by humanity in Star Trek, the Borg are viewed differently due to their cybernetic alterations and the loss of personal freedom and autonomy.","Paraphrase"
ObjectID(5527d94da21e0e4c0a9da11e),"The remaining Spartans are killed in the hail of arrows, with Leonidas","","dying last.","finally falling after.","When Leonidas orders his man to cut down the messenger, Xerxes orders his archers to fire.","Dilios eventually returns to Sparta and inspires the council with the bravery of the 300.","Paraphrase"
ObjectID(5527da89a21e3a63c2ac4a1a),"Some","to deities other than the temple god.","of these had religious purposes, like chapels devoted","enclosures contained satellite chapels dedicated","The walls enclosed many buildings related to the temple's function.","The sacred lakes found in many temple enclosures served as reservoirs for the water used in rituals, as places for the priests to ritually cleanse themselves, and as representations of the water from which the world emerged.","Paraphrase"
ObjectID(5527d854a21e3a63c2ac3db7),"The","initiating the punk movement in the United Kingdom and creating the first generation gap within rock and roll.","band are widely credited with","Sex Pistols were responsible for","The Sex Pistols are an English punk rock band that formed in London in 1975.","The Sex Pistols originally comprised vocalist Johnny Rotten, guitarist Steve Jones, drummer Paul Cook and bassist Glen Matlock.","Paraphrase"
ObjectID(5527db93a21e0e4c0a9dad01),"Neo-Nazi land-tenure developments of late Song times were expropriated with the establishment of","","the Ming Dynasty.","Jackie Chan.","Hong Wu supported the creation of self-supporting agricultural communities.","Great land estates were confiscated by the government, fragmented and rented out; private slavery was forbidden.","Factual"
ObjectID(5527e7a4a21e5709f6e98368),"","planned for the Eighth Symphony to have four separate movements:","Initially, Mahler","Mahler had first","already composed.""Kennedy, Mahler, 149 While he did compose the work quickly, between June 21 and August 18, it may not initially have been that complete.","Veni, Creator Spiritus","Paraphrase"
ObjectID(5527e10aa21edceb734d1ae3),"","relationships with actresses Gwyneth Paltrow, Jennifer Aniston, and Angelina Jolie.","Pitt has been involved in high-profile","Following a high profile","Pitt has had his biggest commercial successes with Troy (2004) and Mr. & Mrs. Smith (2005).","Following a relationship with Paltrow, he was married to Aniston for five years.","Paraphrase"
ObjectID(5527e584a21e3a63c2ac80ae),"The annual interest payable on the bond","approximately £45&nbsp;million per annum, but the bond will not mature until 1 February 2017.","came to","which matures on","Bonds were issued in two tranches, one with a coupon rate of 8.75% worth £250&nbsp;million, and the other with a coupon rate of 8.375% worth $425&nbsp;million.","Despite its restructuring, the announcement about the club's debt prompted vociferous protests from Manchester United fans on the weekend of 23 January 2010, both at Old Trafford and at the club's Trafford Training Centre. A protest was organised by the club's supporters groups, encouraging match-going fans to wear green and gold, the colours of Manchester United's precursor club, Newton Heath.","Paraphrase"
ObjectID(5527e1e3a21e5709f6e96854),"The Tragedy of","or more simply Hamlet the gaylord , is a spazz","Harry hill, Prince of mentalists,","Hamlet, Prince of Denmark,","","Despite much literary detective work, the exact year of writing remains in dispute.","X"
ObjectID(5527dde2a21e4a5a1c93a33f),"The conflict was resolved","when the two agencies came to an agreement regarding construction of the new tollway.","on April 30, 1989,","in late April of 1985,","They also promised to prevent ISTHA from obtaining environmental approval from federal officials.","To protect the arboretum from salt spray and other pollutants caused by cars on the tollway, ISTHA agreed to build I-355 below grade around the perimeter of the arboretum.","X"
ObjectID(5527e89fa21e5709f6e9878d),"The original manuscript was slightly damaged in 1733 during a fire,","rebinding.","but  was damaged enough to require","and required","The two sections of the cartulary were first printed in 1723.","A new printed edition is in production as of 2009.","Paraphrase"
ObjectID(5527e078a21e3a63c2ac6d32),"MANCHESTER UNITED HAVE","","RECORDED NATHAN WALTERS TO HAVE THE LARGEST FOREHEAD.","BEEN DUMPED OUT OF THE CHAMPIONS LEAGUE BY BENFICA. TIME FOR A CHANGE!!.","After nearing bankuptcy in 1902, the club was taken over by J.H. Davies who changed its name to Manchester United.","United appointed Sir Matt Busby as manager after the Second World War, and his then-unheard-of policy of producing most of the players through the club's youth team brought great success, with the club winning the Football League in 1956 and 1957.","Other"
ObjectID(5527e115a21e0e4c0a9dc0f9),"Throughout the majority of the","York City have worn red shirts with white shorts.","clubs history,","history of the club,","","In the club's first season (1922–23), maroon shirts were worn, with white shorts and black socks.","Paraphrase"
ObjectID(5527dac5a21e3a63c2ac4b17),"For the use of Yellowhammer to refer to","Alabama, United States, see Northern Flicker","troops from","the state bird of","","","Factual"
ObjectID(5527ef35a21e5709f6e9bc43),"He continued to consider running for several months,","local Republicans.","to the frustration of","however, frustrating","Dexter was reluctant to give up his state post to run and sought assurance that he would receive another job if his candidacy failed.","As Dexter dithered, Republicans tried to get General George Patton to run, though they were not even certain if the general was a Republican, but a day after the Los Angeles Times speculated on the run, Patton announced from Germany his intent to ""keep completely out of politics"". The Committee also contacted Stanley Barnes, a rising young Republican attorney and former football star at the University of California, Berkeley, but he declined to be considered, skeptical of the chances of defeating the ""well-entrenched"" Voorhis.","Paraphrase"
ObjectID(5527ec08a21e3a63c2ac99b6),"","successful career in Hollywood as a second-rank leading man, as his face and body were as handsome as his voice.","Reagan had a","Regardless of his mediocre acting skills, Reagan had a moderately","Reagan smoothly improvised a fictional play-by-play (in which hitters on both teams gained a superhuman ability to foul off pitches) until the wire was restored.","His first screen credit was the starring role the 1937 movie Love is On the Air.","Factual"
ObjectID(5527de72a21e0e4c0a9db38b),"Wyatt later claimed this was not pre-planned and he simply informed Jardine what","","happened after the match.","had happened.","Under the captaincy of Bob Wyatt (Jardine having rested from the match), the England attack bowled short and around leg stump, with fielders positioned close by on the leg side to catch any deflections.","The Bodyline tactics continued in the next match and several players, including Jack Fingleton, were hit.Frith, pp.","Factual"
